"year";"month";"temp";"prec"
1978;1;-1;29
1978;2;-3,1;48
1978;3;4,2;58
1978;4;6,9;18
1978;5;10,8;133
1978;6;14,4;90
1978;7;15,6;106
1978;8;14,7;116
1978;9;12,3;73
1978;10;7,8;48
1978;11;1,5;8
1978;12;0,4;37
1979;1;-5,5;50
1979;2;-0,2;33
1979;3;4,6;101
1979;4;5,9;66
1979;5;12,6;25
1979;6;16,9;235
1979;7;15,5;80
1979;8;15,3;98
1979;9;12,4;135
1979;10;8,4;17
1979;11;3;92
1979;12;3,5;39
1980;1;-3,6;43
1980;2;2;49
1980;3;3,8;55
1980;4;4,8;125
1980;5;10,6;58
1980;6;14,8;102
1980;7;14,6;136
1980;8;17,2;53
1980;9;13,4;60
1980;10;7;82
1980;11;1,6;27
1980;12;-1,2;33
1981;1;-3,9;58
1981;2;-1,3;19
1981;3;7,2;41
1981;4;8,4;22
1981;5;12,5;84
1981;6;15,8;30
1981;7;16,2;164
1981;8;16,5;59
1981;9;13,9;140
1981;10;8,4;159
1981;11;3,6;58
1981;12;-2,5;94
1982;1;-4,2;88
1982;2;-1,5;8
1982;3;3,8;24
1982;4;5,9;22
1982;5;12,7;30
1982;6;16,7;119
1982;7;19;76
1982;8;16,5;107
1982;9;15;33
1982;10;8,8;38
1982;11;4,4;32
1982;12;1,7;87
1983;1;2,8;72
1983;2;-3,1;51
1983;3;3,8;33
1983;4;9;82
1983;5;11,5;84
1983;6;16,1;52
1983;7;20,7;80
1983;8;17,3;100
1983;9;13,1;85
1983;10;8,2;26
1983;11;1,5;34
1983;12;-1;43
1984;1;-0,2;52
1984;2;-2,6;41
1984;3;1,7;14
1984;4;6,2;37
1984;5;10,6;78
1984;6;14,1;72
1984;7;16,3;93
1984;8;16,2;118
1984;9;11,9;137
1984;10;9,1;27
1984;11;3,7;43
1984;12;-0,1;40
1985;1;-7,3;72
1985;2;-3,8;38
1985;3;1,9;38
1985;4;7,6;52
1985;5;13,4;209
1985;6;14;74
1985;7;18,2;52
1985;8;16,6;151
1985;9;13,5;49
1985;10;7,3;10
1985;11;-0,2;78
1985;12;2,3;31
1986;1;-0,4;76
1986;2;-6,7;17
1986;3;2,8;52
1986;4;7,3;72
1986;5;14,7;103
1986;6;15,9;53
1986;7;16,4;84
1986;8;16,9;86
1986;9;12,2;17
1986;10;8,8;83
1986;11;3,6;29
1986;12;0,1;47
1987;1;-5,5;40
1987;2;-1,1;57
1987;3;-0,8;58
1987;4;8,3;45
1987;5;9,4;126
1987;6;14,2;102
1987;7;17,2;137
1987;8;15,3;89
1987;9;15,4;92
1987;10;8,8;14
1987;11;3,3;48
1987;12;1;49
1988;1;1,6;31
1988;2;0,8;44
1988;3;2,1;113
1988;4;8;33
1988;5;14;48
1988;6;14,8;93
1988;7;16,8;90
1988;8;16,6;102
1988;9;12,7;42
1988;10;9,6;43
1988;11;1,5;39
1988;12;1,9;103
1989;1;0,1;17
1989;2;2;36
1989;3;6,6;18
1989;4;7,2;87
1989;5;12,9;34
1989;6;13,9;81
1989;7;17,1;127
1989;8;16,5;82
1989;9;13,1;70
